Gene	117-A2	117-A3	124-A1	124-A2	117-A1	120-A1	120-A2	120-A3
LRRC32	16.699961879240924	108.78596238833906	45.10084524217	156.9474240537181	79.95752704023569	106.42465335418018	134.69120612555938	98.51128196221713
LRRC34	2.267445542242365	1.0274264601676648	0.0	3.0271724833843754	0.0	1.3158344717454566	0.0	0.0
LRRC36	0.0	0.0	2.825446297856243	1.4089202115839268	0.0	0.0	0.0	0.0
LRRC37A	32.874948894857155	16.809011629798555	2.8086660159674537	7.174384560126997	11.088609769764776	3.4921921871057733	4.032970078699991	4.914133962847503
LRRC37A2	10.098297238758882	5.564397902158519	11.359371016484113	19.755850573917265	2.2223027553466204	14.453243645816611	15.711034717742448	13.790809044923973
LRRC37A3	53.798021465667105	30.90333124453821	21.08927414601388	23.90551561660408	17.54934016143563	52.25608257173536	52.515241675245825	48.276952408395736
LRRC37B	29.91387718291067	8.838154014413863	10.137280905277748	13.02199696724715	5.975657556192571	6.516668074409888	11.863509984710186	10.016975239099851
LRRC38	0.0	1.4788212023659215	0.0	0.0	0.0	0.0	1.2238820230553895	0.0
LRRC39	1.8342333005727256	2.1459100664110458	2.867791349702107	3.2548385017276984	0.0	2.3146161454932237	1.2666035108880365	1.124972217206741
LRRC3B	0.0	0.0	0.0	0.0	0.0	0.0	2.884606778894641	1.2731426314047638
LRRC3C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC4	23.97195365000205	10.226870761109044	5.382300303543129	15.592783767233348	6.772665659975887	5.521374810985596	8.697076830731437	5.1058459383063886
LRRC40	20.60397353950672	20.213783880004453	40.32012197841349	30.98201410741391	15.48918255643036	18.284935903467694	17.895348386513323	20.4960573407365
LRRC41	122.08192938631254	161.8741187472117	95.14684036063196	156.32048413307155	86.39192184950636	157.89950142913372	268.6376118143814	229.77026839247281
LRRC42	58.60255084554052	25.33679630620901	27.74156186818839	35.035112539567145	30.18846933013696	23.549177016866125	31.036478043835373	31.47323521271129
LRRC43	0.0	2.5137287892926707	0.0	1.8654928351546525	0.0	2.518286715453515	3.16692075457964	2.3999755797928803
LRRC45	29.54610397287179	9.369960840952222	8.25481562004491	12.667840282174804	9.765862227551082	18.240581261645374	19.017186439371255	13.59546776512588
LRRC46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC47	21.206303151537327	27.180909094803358	23.974921401593853	31.595302188524307	34.078646950464965	14.623057834301699	23.31949873758543	19.864711370856146
LRRC48	0.0	5.349492006267772	10.358624634037012	4.1498335174591885	14.226959640916016	6.422378731644398	5.362248777566002	3.740610908900983
LRRC49	7.451996760807238	5.385268539470682	5.872725993484449	9.164172877616974	4.388271420662465	2.77465565593408	2.6322265138019	4.5725127785059145
LRRC4B	0.0	1.272458933743807	2.3998772127469734	4.022196515409746	1.7245727761147678	0.0	0.0	0.0
LRRC4C	1.0122287318889671	1.3661194317051248	0.0	0.0	0.0	3.8485454971108015	14.125021888331762	14.303249853769445
LRRC52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC56	3.8056053709050737	1.2105586268044164	1.4702303599791324	4.942886656292289	1.1531100269118966	1.3085902401833265	2.42233432032823	1.271783547535322
LRRC57	22.50608888944296	9.269542258107599	19.437806891869343	15.468999229108766	10.90864756700932	18.335610589484954	22.875488727450513	25.99079955364058
LRRC58	28.819671513498395	22.104021926679774	28.30159214251669	32.9360360448147	19.452698665551555	35.334446082398465	38.13262439982194	36.598449154633755
LRRC59	112.45260415100088	50.50085931225961	65.18021802672115	54.77380155841313	46.84077944409047	92.30877938411192	87.71722387720249	92.10974501973124
LRRC6	11.498860160162954	12.176040230572244	15.09553596149452	10.102499086684222	11.727005414422441	10.713854522066939	14.79150621911249	16.73770283687336
LRRC61	96.99545307848713	31.043567270983342	23.421403088358964	29.68405274880411	26.731289134290584	70.85066171728576	61.69324840677826	47.00305473039684
LRRC63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC66	2.9068050395085714	0.0	1.2936669361547073	1.0187879344761095	0.0	1.3600036409140166	1.2668044203948845	0.0
LRRC69	2.9716050836330914	3.1501309939774766	2.9140807153396966	1.3993297524513348	2.4455606264406287	0.0	1.3558953709260988	1.4704207821295672
LRRC7	0.0	2.023790198973046	4.5793385580236	3.9413633675009647	0.0	0.0	1.3370539211610728	0.0
LRRC70	2.635027885883285	2.9313130504342886	3.7939991287150856	9.40307678216678	3.2824735588342167	1.8658294896209504	2.5661561808992066	2.172791233081154
LRRC71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC73	4.74470773756204	1.60948519848856	0.0	0.0	6.236945359454424	1.0466628367128268	1.5857381041708312	0.0
LRRC74A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC74B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC75A	5.431530909281952	2.5754230142549845	3.807398959081498	8.517518305258195	0.0	3.932388664315506	1.0396863812486463	2.2099084768675707
LRRC75B	0.0	0.0	4.001988152292421	2.9160443394517905	1.8977926206442801	1.0977503899387937	5.2311417798863005	6.814253173000963
LRRC8A	32.62437486929021	26.547108737756147	54.379654997025135	48.58584307100696	60.987205202221325	33.49827951377283	37.09394256610753	33.6361543879869
LRRC8B	8.783520095849395	14.629027986723585	14.137485357055194	10.766296015162027	9.59741164281746	8.594771016260092	13.198515281744433	12.02559887873655
LRRC8C	15.583465660914259	13.3204169591909	13.44268713947098	18.309701511859213	10.240698588915537	6.756413075526661	7.120210348604584	8.229584485450648
LRRC8D	36.36887052030214	37.37727872047306	44.385035863730096	33.87990135988951	34.850011079035355	42.25448160864015	40.869610096797	41.69517243652055
LRRC8E	8.206003115554353	12.575413062498715	3.7986809678739415	5.518940833467124	5.912469286784448	27.541152582284226	32.160318419531215	28.396069633055703
LRRC9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
