,TWDN-WUR-124-A1,TWDN-WUR-124-A2,TWDN-WUR-117-A1,TWDN-WUR-117-A2,TWDN-WUR-120-A1,TWDN-WUR-120-A2,TWDN-WUR-120-A3
RNU6-987P,0,0,0,0,0,0,0
AL160037.1,0,0,0,0,0,0,0
SCGN,10.2202524522594,2.98723110031454,3.54828671314346,0.157300239336941,3.93030186447961,1.89429736322695,2.07211169122891
HIST1H2AA,0.642652791115702,0.255486870421638,0.157868688508501,0,0.0926593759798729,0.053866275731572,0.0176349931168417
HIST1H2BA,0.134749778782325,0.0393056723725598,0.0300702263825717,0,0,0.00897771262192867,0.00881749655842087
AL512384.1,0,0,0,0,0,0,0
SLC17A4,204.342856839596,96.6723012003107,20.7935615435483,0.138794328826712,18.8098533239142,11.4824944434468,4.28530332739254
SLC17A1,503.819057499513,73.9143168965986,183.075055773692,0.573683225817078,46.8315929431608,21.6093542809823,15.3071740254186
SLC17A3,1233.56166717899,85.52914308269,54.6075311107502,0.638453912602877,223.880495596703,148.096347411335,68.5824882313976
AL138726.1,0,0,0,0,0,0,0
SLC17A2,9.59833039634098,1.04160031787283,11.915327204094,0.0647706867857991,2.52496799545154,3.7885947264539,1.78113430480102
TRIM38,139.320905893325,111.746026555187,129.956000868879,11.1313051719023,48.7465533800781,58.7501513979012,37.1481130006271
U91328.21,16.54312668743,13.4621927876017,10.4644387811349,0.26833570239831,1.55976616232786,4.08485924297755,1.36671196655524
U91328.19,0.0414614703945614,0.0196528361862799,0.0150351131912858,0,0,0,0.00881749655842087
U91328.22,0,0,0,0,0,0,0
HIST1H1A,0.0414614703945614,0.137569853303959,0.278149594038788,3.57164072847406,0.486461723894333,0.053866275731572,0.308612379544731
HIST1H3A,0,0,0,0,0,0,0
HIST1H4A,0,0,0,0,0,0,0
HIST1H4B,0.435345439142895,0.235834034235359,0.390912942973432,0.360865254949452,0.223926825284693,0.224442815548217,0.149897441493155
HIST1H3B,0,0,0,0,0,0,0
HIST1H2AB,0,0,0,0,0,0,0
HIST1H2BB,60.5855736140529,57.0718362849568,41.6247108700749,10.2245155569011,48.3373078028337,55.0782669355324,34.5822215021267
HIST1H3C,0,0,0,0,0,0,0
HIST1H1C,1.69992028617702,1.37569853303959,0.721685433181721,0.203565015612511,1.15824219974841,1.0952809398753,0.396787345128939
HFE,3.19253322038123,2.06354779955939,2.65369747826195,0.0647706867857991,1.50571485967293,2.28931671859181,0.864114662725246
HIST1H4C,1.99015057893895,1.51326838634355,2.45824100677524,0.323853433928995,0.362915889254502,0.592529033047292,0.123444951817892
HIST1H1T,0,0,0,0,0,0,0
HIST1H2BC,9.31846547117769,4.61841650377577,10.2764998662439,3.08123409995301,9.35859697396716,17.2282305214811,8.64996412381088
HIST1H2AC,84.3015346797421,37.0652490473239,84.2567743239659,15.970600770327,27.2495781527476,31.0808410971171,22.4846162239732
U91328.1,0,0,0,0,0,0,0
HIST1H1E,27.3542050928119,32.1716928369402,39.474689683721,18.7187284810959,46.638552576536,31.4309718893723,18.9928875868386
HIST1H2BD,36.9939969595475,17.9430394380735,22.6203277962896,5.0336076587821,22.2073637765095,19.6073243662922,14.5047818386023
HIST1H2BE,0,0,0,0,0,0,0
HIST1H4D,0,0,0,0,0,0,0
HIST1H3D,1.6169973453879,1.35604569685331,2.19512652592773,5.69982043715032,2.44775184880164,1.94816363895852,1.42843444246418
HIST1H2AD,2.93339903041522,0.805766283637475,2.33796010124495,2.02639720087,1.25090157572828,0.969592963168297,0.564319779738936
AL031777.2,0,0,0,0,0,0,0
HIST1H2BF,2.14563109291855,0.412709559911877,3.22503177953081,3.68267619153543,2.78750289406118,2.02896305255588,0.969924621426296
HIST1H4E,0,0,0,0,0,0,0
HIST1H2BG,2.48768822367369,0.393056723725598,1.66138000763709,0.805007107194932,0.725831778509004,0.781060998107795,0.511414800388411
HIST1H2AE,2.14563109291855,0.786113447451195,2.21767919571466,1.36018442250178,1.50571485967293,2.6933137865786,1.25208451129576
AL031777.1,0,0,0,0,0,0,0
HIST1H3E,0,0,0,0,0,0,0
HIST1H1D,2.64316873765329,5.62071114927605,11.5394493743119,27.805130541618,33.504086031389,13.969320839721,11.1805856360777
HIST1H4F,0.0310961027959211,0.255486870421638,0.300702263825717,0.536671404796621,1.0192531357786,0.74515014762008,0.50259730382999
HIST1H4G,0,0,0,0,0,0,0
HIST1H3F,0,0,0,0,0,0,0
HIST1H2BH,0,0,0,0,0,0,0
HIST1H3G,0,0,0,0,0,0,0
HIST1H2BI,0.0414614703945614,0.0196528361862799,0.0751755659564292,0.582936181072192,0.339751045259534,0.125687976707001,0.10580995870105
HIST1H4H,2.22855403370768,1.51326838634355,2.64617992166631,0.610695046837534,2.22382502351695,4.40805689736698,1.71059433233365
AL021917.1,0,0,0,0,0,0,0
BTN3A2,38.7561094513163,27.0816082646937,25.3341657273166,10.6779103644017,4.370433900384,7.02954898297015,4.77908313466411
BTN2A2,14.3767648593142,13.7176796580234,17.2227221606179,4.98734288250653,8.46288967282839,15.2531337446568,8.4912491857593
BTN3A1,43.6278322226773,31.385579389489,37.4825371858756,16.4425014883379,22.4235689871292,41.1717900841649,23.3222783970232
BTN3A3,16.2321656594708,15.4078235700434,19.2975677810154,9.06789615001187,10.95697120962,14.2117190805131,10.4046459389366
BTN2A1,18.9478919703146,21.1464517364372,17.2152046040223,5.40372586898667,10.0767071378112,14.4541173213052,10.9425132290003
